x1,x2
13402.0,0.0
13412.0,0.0
13422.0,0.0
13451.0,0.0
13460.0,0.0
13469.0,0.0
13569.0,0.0
13578.0,0.0
13587.0,0.0
13591.0,0.0
13604.0,0.0
13708.0,0.0
13736.0,0.0
13745.0,0.0
13754.0,0.0
13763.0,0.0
13772.0,0.0
13781.0,0.0
13803.0,0.0
13878.0,0.0
13889.0,0.0
13894.0,0.0
13899.0,0.0
13912.0,0.0
14057.0,0.0
14170.0,0.0
14193.0,0.0
14202.0,0.0
14211.0,0.0
14220.0,0.0
14229.0,0.0
14238.0,0.0
14332.0,0.0
14357.0,0.0
14487.0,0.0
14500.0,0.0
14632.0,0.0
14714.0,0.0
14723.0,0.0
14732.0,0.0
14741.0,0.0
14750.0,0.0
14759.0,0.0
14768.0,0.0
14777.0,0.0
14786.0,0.0
14796.0,0.0
15094.0,0.0
15171.0,0.0
15180.0,0.0
15189.0,0.0
15198.0,0.0
15207.0,0.0
15216.0,0.0
15225.0,0.0
15234.0,0.0
15243.0,0.0
15260.0,0.0
15556.0,0.0
15610.0,0.0
15629.0,0.0
15638.0,0.0
15647.0,0.0
15656.0,0.0
15665.0,0.0
15717.0,0.0
16018.0,0.0
16053.0,0.0
16066.0,0.0
16076.0,0.0
16086.0,0.0
16095.0,0.0
16104.0,0.0
16113.0,0.0
16122.0,0.0
16461.0,0.0
16474.0,0.0
16480.0,0.0
16507.0,0.0
16515.0,0.0
16528.0,0.0
16914.0,0.0
16927.0,0.0
16942.0,0.0
16951.0,0.0
16960.0,0.0
16973.0,0.0
17034.0,0.0
17043.0,0.0
17367.0,0.0
17380.0,0.0
17385.0,0.0
17398.0,0.0
17404.0,0.0
17417.0,0.0
17426.0,0.0
17482.0,0.0
17491.0,0.0
17496.0,0.0
17757.0,0.0
17770.0,0.0
17775.0,0.0
17788.0,0.0
17829.0,0.0
17842.0,0.0
17847.0,0.0
17860.0,0.0
17866.0,0.0
17944.0,0.0
17949.0,0.0
18210.0,0.0
18223.0,0.0
18228.0,0.0
18241.0,0.0
18255.0,0.0
18268.0,0.0
18282.0,0.0
18295.0,0.0
18300.0,0.0
18313.0,0.0
18328.0,0.0
18397.0,0.0
18402.0,0.0
18663.0,0.0
18676.0,0.0
18681.0,0.0
18694.0,0.0
18699.0,0.0
18712.0,0.0
18726.0,0.0
18739.0,0.0
18745.0,0.0
18754.0,0.0
18762.0,0.0
18775.0,0.0
18790.0,0.0
18850.0,0.0
18855.0,0.0
19098.0,0.0
19111.0,0.0
19116.0,0.0
19129.0,0.0
19134.0,0.0
19147.0,0.0
19152.0,0.0
19165.0,0.0
19170.0,0.0
19183.0,0.0
19188.0,0.0
19201.0,0.0
19211.0,0.0
19220.0,0.0
19252.0,0.0
19303.0,0.0
19551.0,0.0
19564.0,0.0
19569.0,0.0
19582.0,0.0
19587.0,0.0
19600.0,0.0
19605.0,0.0
19618.0,0.0
19623.0,0.0
19636.0,0.0
19642.0,0.0
19651.0,0.0
19659.0,0.0
19672.0,0.0
19714.0,0.0
19743.0,0.0
20004.0,0.0
20017.0,0.0
20022.0,0.0
20035.0,0.0
20040.0,0.0
20053.0,0.0
20076.0,0.0
20089.0,0.0
20095.0,0.0
20108.0,0.0
20117.0,0.0
20121.0,0.0
20134.0,0.0
20176.0,0.0
20191.0,0.0
20457.0,0.0
20470.0,0.0
20475.0,0.0
20488.0,0.0
20493.0,0.0
20506.0,0.0
20511.0,0.0
20524.0,0.0
20530.0,0.0
20539.0,0.0
20548.0,0.0
20561.0,0.0
20565.0,0.0
20578.0,0.0
20638.0,0.0
20649.0,0.0
20663.0,0.0
20672.0,0.0
20681.0,0.0
20687.0,0.0
20893.0,0.0
20910.0,0.0
20923.0,0.0
20928.0,0.0
20941.0,0.0
20946.0,0.0
20959.0,0.0
20965.0,0.0
20974.0,0.0
20983.0,0.0
20996.0,0.0
21005.0,0.0
21014.0,0.0
21097.0,0.0
21106.0,0.0
21115.0,0.0
21124.0,0.0
21133.0,0.0
21337.0,0.0
21346.0,0.0
21359.0,0.0
21363.0,0.0
21376.0,0.0
21381.0,0.0
21394.0,0.0
21400.0,0.0
21409.0,0.0
21418.0,0.0
21431.0,0.0
21440.0,0.0
21449.0,0.0
21453.0,0.0
21466.0,0.0
21471.0,0.0
21484.0,0.0
21490.0,0.0
21498.0,0.0
21511.0,0.0
21537.0,0.0
21555.0,0.0
21803.0,0.0
21812.0,0.0
21816.0,0.0
